	lf_HRV	hf_HRV
21.0	0.0017570028779166473	0.0007997907463264647
21.25	0.0020845505826791347	0.0008276153040273988
21.5	0.0020845505826791347	0.0008276153040273988
21.75	0.0020845505826791347	0.0008276153040273988
22.0	0.002058448143194602	0.0009280245731005336
22.25	0.0024165286304909757	0.0010027165312166168
22.5	0.0024165286304909757	0.0010027165312166168
22.75	0.0024165286304909757	0.0010027165312166168
23.0	0.0022971606805855427	0.0008400148414619295
23.25	0.0027527032517148165	0.0010006982110134877
23.5	0.0027527032517148165	0.0010006982110134877
23.75	0.0027527032517148165	0.0010006982110134877
24.0	0.002430971772564247	0.0006202870901303392
24.25	0.002982980224603727	0.000808685211312457
24.5	0.002982980224603727	0.000808685211312457
24.75	0.002982980224603727	0.000808685211312457
25.0	0.0024738722765969656	0.0004093003735830382
25.25	0.003090057889472132	0.0005512894051294065
25.5	0.003090057889472132	0.0005512894051294065
25.75	0.003090057889472132	0.0005512894051294065
26.0	0.002373234994669262	0.0003013189657386478
26.25	0.0030375201268112626	0.0003881621087247883
26.5	0.0030375201268112626	0.0003881621087247883
26.75	0.0030375201268112626	0.0003881621087247883
27.0	0.002111510901332221	0.00022324698095508975
27.25	0.0027920123097353432	0.0003008046722830778
27.5	0.0027920123097353432	0.0003008046722830778
27.75	0.0027920123097353432	0.0003008046722830778
28.0	0.0017839179788023305	0.0001363383633845011
28.25	0.0024218389194972595	0.00020492424763744014
28.5	0.0024218389194972595	0.00020492424763744014
28.75	0.0024218389194972595	0.00020492424763744014
29.0	0.001441791064656868	5.6468657510063575e-05
29.25	0.0020022903349460174	0.00010494222121899386
29.5	0.0020022903349460174	0.00010494222121899386
29.75	0.0020022903349460174	0.00010494222121899386
30.0	0.0011094773720169235	3.9453916003873945e-05
30.25	0.0015681124609069222	4.900871921032997e-05
30.5	0.0015681124609069222	4.900871921032997e-05
30.75	0.0015681124609069222	4.900871921032997e-05
31.0	0.000823937437074272	5.5259209942088705e-05
31.25	0.0011766809347451151	5.911160165440766e-05
31.5	0.0011766809347451151	5.911160165440766e-05
31.75	0.0011766809347451151	5.911160165440766e-05
32.0	0.0005855098886667722	6.408356783646538e-05
32.25	0.0008510430052640248	7.257999767614035e-05
32.5	0.0008510430052640248	7.257999767614035e-05
32.75	0.0008510430052640248	7.257999767614035e-05
33.0	0.0003963025542883534	8.068389026238886e-05
33.25	0.0005847609700313762	8.145703951772452e-05
33.5	0.0005847609700313762	8.145703951772452e-05
33.75	0.0005847609700313762	8.145703951772452e-05
34.0	0.0002841754931303058	0.00010597377887679429
34.25	0.00040737278318565075	0.00010703500760657351
34.5	0.00040737278318565075	0.00010703500760657351
34.75	0.00040737278318565075	0.00010703500760657351
35.0	0.00022183705550193823	9.400685021181506e-05
35.25	0.00031327574579353024	0.00011033213283669806
35.5	0.00031327574579353024	0.00011033213283669806
35.75	0.00031327574579353024	0.00011033213283669806
36.0	0.00019290744088593806	6.723793831923128e-05
36.25	0.0002652322511189647	8.730194159268077e-05
36.5	0.0002652322511189647	8.730194159268077e-05
36.75	0.0002652322511189647	8.730194159268077e-05
